FGEOIDCT10,Sits in State,Life Expectancy,Average Distance to Transit,Ave Economic Diversity,Ave Road Network Density,Walkability Index,Ave Percent People Without Health Insurance,Ave Population Density,Ave Percent People Unemployed,Ave Physical Inactivity
36005016600,NY,80.5,216.99,0.36,29.52,15.06,4.05,21911.94,8.53,26.2
36005016700,NY,,244.38,0.72,24.25,15.4,9.78,45285.19,9.28,37.6
36005016900,NY,75.2,170.32,0.56,29.48,16.33,3.06,52795.46,19.45,38.9
36005017100,NY,,288.34,0.0,42.89,13.0,,0.0,,
36005017300,NY,78.1,216.22,0.41,25.09,12.67,10.94,100466.58,10.37,44.2
36005017500,NY,73.0,213.81,0.23,28.56,11.34,5.78,104492.74,3.36,42.1
36005017701,NY,70.3,168.9,0.51,24.73,15.02,5.62,114573.51,13.56,45.4
36005017702,NY,80.9,182.44,0.62,28.41,13.5,9.07,100727.68,19.81,42.3
36005017901,NY,,145.45,0.53,49.31,14.1,12.42,172028.98,11.38,35.2
36005017902,NY,77.8,126.33,0.51,46.06,15.11,3.75,127455.31,7.11,41.2
36005018101,NY,75.6,162.95,0.42,37.96,12.94,10.4,107823.94,15.4,36.8
36005018102,NY,76.8,158.89,0.41,38.55,13.74,7.9,146535.16,8.39,39.7
36005018301,NY,83.9,197.77,0.48,38.0,11.49,5.29,178010.65,12.15,31.7
36005018302,NY,,225.34,0.34,33.98,14.73,8.4,84882.85,11.41,31.3
36005018400,NY,80.8,174.16,0.58,32.11,15.38,5.34,23647.33,3.76,28.5
36005018500,NY,75.8,240.08,0.48,26.44,15.22,6.35,61848.13,22.93,42.39
36005018900,NY,75.7,181.27,0.41,30.91,12.71,9.47,61623.03,6.07,38.2
36005019300,NY,74.4,253.48,0.41,20.3,11.05,8.56,63685.15,5.8,33.2
36005019400,NY,78.8,248.11,0.75,39.95,15.17,3.29,6381.39,5.6,29.9
36005019500,NY,76.8,207.03,0.5,37.04,12.95,3.92,84151.88,22.7,42.1
36005019700,NY,79.7,165.98,0.58,37.52,15.08,11.51,136942.95,11.91,45.7
36005019900,NY,75.6,188.99,0.52,26.72,12.54,5.44,109632.22,6.64,38.0
36005020000,NY,79.6,180.84,0.65,32.9,15.26,8.78,37384.55,6.11,37.4
36005020100,NY,75.6,190.87,0.41,40.9,14.58,5.14,35549.16,24.3,42.8
36005020200,NY,80.8,331.66,0.5,35.05,16.3,7.82,53495.94,4.37,37.1
36005020400,NY,79.8,361.09,0.56,31.24,12.62,7.59,58095.79,7.45,38.0
36005020501,NY,75.6,244.43,0.23,35.09,8.9,4.02,69712.56,18.1,48.4
36005020502,NY,79.8,184.39,0.41,27.77,13.51,12.11,66310.74,9.73,37.4
36005020601,NY,78.5,329.01,0.74,31.82,15.57,7.32,43203.21,5.19,33.5
36005020900,NY,74.6,227.54,0.37,25.84,13.34,5.51,95159.34,7.06,36.9
36005021001,NY,76.9,175.35,0.42,20.29,11.82,5.13,106275.04,19.62,32.9
36005021002,NY,79.9,164.06,0.31,25.21,10.03,6.64,119297.75,11.61,31.5
36005021100,NY,75.6,88.61,0.34,35.02,13.53,6.57,107037.43,15.02,40.9
36005021200,NY,79.7,172.95,0.41,21.39,10.83,6.05,127552.15,6.59,31.8
36005021301,NY,75.6,181.99,0.45,64.65,13.51,3.4,55219.8,20.4,39.3
36005021302,NY,74.7,354.39,0.51,31.21,12.41,1.65,90996.77,20.52,47.5
36005021501,NY,,181.23,0.49,30.85,13.3,5.08,131394.99,8.18,39.0
36005021502,NY,75.7,171.61,0.46,33.98,14.86,7.63,116188.31,19.18,43.2
36005021601,NY,82.8,207.13,0.55,46.8,14.21,12.33,69799.13,8.46,36.3
36005021602,NY,85.0,178.6,0.45,27.43,12.77,4.02,95356.86,8.14,27.5
36005021700,NY,75.6,179.3,0.5,32.56,14.12,8.02,86129.81,7.57,40.1
36005021800,NY,77.4,278.5,0.46,35.27,11.19,5.24,52138.49,6.12,36.6
36005021900,NY,76.8,131.43,0.44,35.67,16.33,5.69,17195.44,6.31,35.6
36005022000,NY,75.6,104.61,0.78,22.61,16.5,9.76,24267.33,14.58,42.8
36005022101,NY,78.5,279.78,0.5,30.34,12.45,4.93,168207.22,15.37,39.4
36005022102,NY,76.3,105.77,0.41,38.35,14.0,10.79,203214.81,13.02,45.6
36005022200,NY,80.2,157.62,0.61,32.95,16.87,9.71,39027.39,8.01,38.2
36005022300,NY,78.5,197.15,0.46,34.92,14.93,7.27,152079.61,8.51,39.3
36005022401,NY,81.2,158.0,0.41,26.77,11.41,0.98,80391.86,12.23,27.1
36005022403,NY,81.2,271.44,0.42,34.11,13.38,6.44,62192.91,14.25,29.8
36005022404,NY,80.1,261.63,0.47,29.22,10.56,8.18,133940.82,5.98,29.8
36005022500,NY,75.6,125.75,0.39,40.31,12.64,10.3,130821.58,23.87,37.2
36005022701,NY,80.2,159.67,0.71,45.8,13.86,6.08,107760.55,21.54,42.7
36005022702,NY,,356.74,0.77,66.42,16.33,9.94,79221.75,5.18,44.3
36005022703,NY,77.9,175.69,0.6,55.01,16.0,10.54,137337.7,9.88,34.4
36005022800,NY,78.6,368.1,0.37,29.17,9.05,3.72,85627.52,2.35,25.6
36005022901,NY,76.8,252.77,0.27,42.73,10.64,17.43,116141.82,7.05,37.1
36005022902,NY,76.2,298.43,0.44,44.12,12.02,14.37,98989.62,10.37,33.9
36005023000,NY,78.8,257.76,0.66,37.74,15.72,5.99,45061.5,7.42,33.2
36005023100,NY,76.8,291.02,0.66,41.1,17.17,9.36,37033.63,15.01,43.5
36005023200,NY,82.4,99.69,0.34,28.2,13.94,7.32,43158.6,12.8,32.9
36005023301,NY,75.6,137.01,0.58,36.0,15.36,11.63,88433.42,20.79,40.2
36005023302,NY,81.6,205.04,0.44,44.71,14.49,12.87,155042.51,12.78,42.1
36005023501,NY,76.8,118.73,0.41,56.53,11.6,8.93,125094.15,9.29,40.0
36005023502,NY,81.3,150.34,0.52,45.14,14.54,10.89,119891.91,14.77,33.4
36005023600,NY,77.4,157.16,0.62,32.41,16.24,8.15,48215.92,3.72,28.4
36005023702,NY,69.4,107.29,0.36,42.82,14.83,6.49,62516.21,8.14,36.2
36005023703,NY,75.2,105.3,0.54,41.32,14.66,4.79,134245.9,20.23,50.1
36005023704,NY,76.8,183.93,0.41,37.78,10.72,5.25,143960.74,16.79,42.8
36005023800,NY,78.2,167.0,0.54,31.78,14.64,12.26,17917.7,10.13,28.9
36005023900,NY,81.7,164.66,0.61,27.84,12.94,17.31,133455.77,12.31,38.3
36005024000,NY,75.6,289.53,0.48,29.92,12.37,10.86,49417.15,20.59,29.9
36005024100,NY,78.0,138.19,0.53,30.17,13.18,16.79,124497.76,13.19,36.6
36005024300,NY,75.6,193.18,0.6,28.47,14.3,8.77,87152.47,18.82,41.2
36005024400,NY,81.8,348.95,0.56,29.4,13.92,6.21,33473.31,11.06,26.6
36005024501,NY,75.6,160.7,0.35,22.87,11.88,14.06,108511.76,7.7,37.7
36005024502,NY,79.0,196.39,0.45,30.14,12.78,6.29,96768.33,8.83,41.7
36005024600,NY,84.8,468.42,0.35,35.62,12.15,4.47,34677.94,7.17,27.7
36005024700,NY,78.3,257.75,0.3,29.45,11.31,6.17,32983.13,11.31,29.4
36005024800,NY,78.4,236.85,0.41,39.55,14.76,8.87,30213.78,3.17,27.3
36005024900,NY,,352.71,0.46,16.28,11.5,,0.0,,
36005025000,NY,82.7,266.14,0.52,24.27,13.02,2.61,36089.45,2.88,24.9
36005025100,NY,78.8,240.78,0.51,32.47,13.64,18.5,81673.31,7.25,38.1
36005025200,NY,80.1,332.96,0.74,28.58,13.08,6.93,34290.0,13.02,26.8
36005025300,NY,79.4,150.96,0.62,28.98,13.65,13.47,125151.16,16.95,36.7
36005025400,NY,78.7,203.25,0.65,27.21,14.17,2.2,30514.56,5.71,28.2
36005025500,NY,75.6,240.81,0.55,25.98,11.68,9.03,111732.75,11.37,39.2
36005025600,NY,79.8,302.29,0.45,27.77,13.78,3.91,21085.74,7.76,27.7
36005025700,NY,76.8,222.63,0.45,35.95,11.0,3.36,28187.39,9.74,31.8
36005026100,NY,79.5,92.54,0.38,24.59,13.0,1.79,29207.04,6.7,22.8
36005026300,NY,72.4,257.71,0.37,32.45,12.39,4.81,112620.94,13.38,38.4
36005026400,NY,81.8,296.29,0.51,32.35,14.82,6.2,36896.6,5.85,24.3
36005026500,NY,78.3,186.58,0.38,28.82,12.18,9.68,92766.36,12.44,35.7
36005026601,NY,79.7,215.46,0.39,34.27,12.42,9.14,44771.42,8.84,33.8
36005026602,NY,83.6,216.29,0.56,29.27,14.71,3.07,45013.65,12.57,36.6
36005026701,NY,77.4,152.33,0.66,30.27,13.32,7.68,136084.44,6.82,33.8
36005026702,NY,80.7,251.55,0.33,27.16,11.18,10.92,122503.22,8.98,31.8
36005026900,NY,72.6,206.09,0.39,25.17,12.85,3.91,26876.14,12.17,37.3
36005027300,NY,85.1,147.65,0.39,30.48,11.93,7.21,94466.02,7.77,38.1
36005027401,NY,79.3,222.36,0.51,35.46,14.74,2.8,18078.89,0.89,22.3
36005027402,NY,82.5,135.75,0.55,21.03,13.8,4.64,17791.1,4.8,23.1
36005027600,NY,,702.75,0.29,31.73,14.5,0.0,80.32,,
36005027700,NY,76.3,85.83,0.6,30.58,15.91,9.12,60196.01,10.8,39.4
36005027900,NY,79.7,177.13,0.34,25.87,13.42,8.35,71561.13,15.48,27.5
36005028100,NY,78.7,257.03,0.19,34.11,11.63,1.16,69984.5,5.24,26.3
36005028300,NY,76.8,168.37,0.58,28.28,14.22,6.48,33388.05,16.25,42.0
36005028400,NY,,529.74,0.51,26.29,10.67,0.0,1190.57,0.0,58.0
36005028500,NY,82.6,346.15,0.47,27.84,14.1,2.54,35550.47,6.72,21.5
36005028600,NY,80.4,210.62,0.53,22.53,12.16,0.53,12301.34,8.32,23.5
36005028700,NY,82.4,278.46,0.4,32.35,14.85,7.0,55534.77,13.33,27.7
36005028800,NY,85.7,290.27,0.59,29.53,14.73,3.59,21447.65,6.2,24.5
36005028900,NY,79.8,153.44,0.67,29.68,15.99,5.05,62643.14,5.61,35.7
36005029301,NY,79.1,343.23,0.38,29.58,12.38,3.54,16815.58,4.95,18.3
36005029302,NY,83.0,285.33,0.55,32.38,13.07,2.89,33346.55,6.48,22.2
36005029500,NY,83.4,245.79,0.64,34.34,14.87,0.0,50481.48,1.51,22.7
36005029600,NY,81.2,322.39,0.49,29.05,14.26,2.96,7773.76,18.18,20.8
36005029700,NY,75.3,234.96,0.53,47.57,16.35,2.17,45037.95,8.01,20.6
36005030000,NY,79.8,324.64,0.59,27.6,13.7,5.14,41756.52,13.46,24.4
36005030100,NY,76.9,164.78,0.28,24.4,14.15,0.81,27798.02,4.09,22.8
36005030200,NY,88.6,117.66,0.33,29.23,11.64,4.12,62700.49,3.76,30.41
36005030701,NY,81.9,284.66,0.62,20.57,14.18,0.66,36466.94,7.95,14.7
36005030900,NY,77.9,572.11,0.35,13.48,11.0,2.34,6754.41,1.06,19.9
36005031000,NY,75.0,468.95,0.42,31.22,13.95,0.64,18518.32,6.87,26.1
36005031200,NY,83.0,146.93,0.53,27.04,15.56,7.16,22751.69,4.95,23.8
36005031400,NY,79.3,221.05,0.21,25.15,14.38,3.73,27519.41,8.36,24.0
36005031600,NY,82.7,362.57,0.33,31.14,13.35,7.29,27877.79,13.26,26.7
36005031800,NY,79.9,363.26,0.16,29.58,14.2,2.03,27937.71,9.18,26.4
36005031900,NY,,437.21,0.1,17.63,10.17,4.02,9391.85,22.03,44.7
36005032300,NY,81.6,269.45,0.56,15.64,12.84,2.86,21151.67,2.24,19.8
36005032400,NY,,363.77,0.33,21.53,14.3,4.0,29932.71,10.29,38.4
36005032600,NY,77.6,177.6,0.55,29.26,15.63,7.49,26126.36,6.38,29.5
36005032800,NY,81.6,344.4,0.36,24.35,11.94,8.52,50654.56,15.35,38.2
36005033000,NY,85.3,205.84,0.59,28.48,15.38,9.4,66317.49,16.83,34.9
36005033201,NY,81.5,267.72,0.23,28.95,10.04,8.64,114902.13,14.91,30.4
36005033202,NY,74.8,220.35,0.36,23.87,10.74,5.67,82373.15,1.45,31.5
36005033400,NY,,103.27,0.19,29.59,13.5,18.42,32.08,41.18,25.5
36005033500,NY,84.2,471.52,0.52,30.96,13.87,3.85,7752.52,11.41,21.2
36005033600,NY,75.9,223.68,0.29,23.27,10.88,4.1,92576.74,12.09,40.14
36005033700,NY,82.9,162.85,0.55,29.44,16.49,3.04,15688.91,5.04,18.4
36005033800,NY,76.8,209.15,0.6,32.95,14.41,7.48,73382.07,9.23,32.56
36005034000,NY,81.9,241.71,0.27,34.17,13.68,13.07,91270.48,5.89,34.0
36005034200,NY,79.2,135.91,0.53,31.41,16.2,5.06,27069.02,1.0,29.7
36005034300,NY,73.4,186.5,0.21,28.78,14.83,3.75,38371.77,10.09,22.4
36005034400,NY,79.9,249.34,0.5,35.81,14.97,10.99,32875.49,5.47,32.9
36005034500,NY,82.8,360.33,0.53,27.73,13.44,6.75,35988.43,5.66,26.2
36005034800,NY,80.7,303.22,0.28,21.0,13.66,2.59,36570.35,5.48,32.0
36005035000,NY,79.0,246.18,0.56,30.97,15.7,3.39,28288.67,1.48,24.5
36005035100,NY,80.1,468.4,0.31,23.32,12.89,3.91,17115.83,3.9,18.4
36005035600,NY,77.6,186.59,0.54,26.66,14.61,6.81,14059.28,14.13,24.1
36005035800,NY,85.2,344.81,0.35,28.88,13.71,2.07,30934.14,8.79,27.5
36005035900,NY,75.6,195.8,0.75,35.74,16.67,6.08,54255.73,21.38,47.2
36005036000,NY,77.4,295.43,0.43,30.31,13.87,8.52,30903.62,8.32,25.6
36005036100,NY,75.4,158.15,0.32,23.79,11.22,3.72,89122.47,20.14,45.6
36005036300,NY,75.6,138.57,0.44,39.36,12.35,3.74,77197.0,12.72,45.6
36005036400,NY,77.8,171.7,0.68,32.09,16.69,10.45,31649.58,8.63,29.4
36005036501,NY,79.2,113.94,0.51,24.31,12.84,6.24,113408.43,19.84,38.0
36005036502,NY,,190.87,0.59,38.2,14.34,8.86,68953.9,14.71,42.4
36005036700,NY,75.6,424.74,0.25,31.88,11.98,2.7,67906.38,15.82,38.4
36005036800,NY,80.8,210.63,0.59,32.08,16.83,3.46,34863.17,18.18,26.8
36005036901,NY,75.9,169.69,0.59,33.4,16.07,7.41,53409.39,9.83,45.0
36005036902,NY,75.6,149.78,0.29,48.08,13.14,3.54,99563.85,18.51,45.5
36005037000,NY,79.0,229.08,0.55,27.07,14.78,8.83,40410.24,7.69,29.2
36005037100,NY,78.0,211.36,0.47,31.21,11.62,6.9,53569.56,8.34,41.8
36005037200,NY,78.3,218.11,0.41,29.64,15.44,9.89,31435.87,4.63,24.6
36005037300,NY,76.9,154.98,0.55,32.66,14.88,12.63,95624.08,10.78,40.2
36005037400,NY,74.0,169.4,0.39,27.99,13.12,3.62,56568.3,12.32,36.4
36005037504,NY,75.6,216.96,0.58,24.99,14.11,2.68,40948.17,5.6,44.7
36005037600,NY,77.6,253.02,0.25,32.03,11.83,8.83,42099.11,5.17,34.5
36005037800,NY,76.5,310.62,0.45,33.45,13.56,9.1,56611.98,18.36,32.2
36005037900,NY,75.4,195.74,0.48,26.35,12.64,6.54,86282.85,12.44,45.5
36005038000,NY,76.9,233.88,0.26,30.01,12.85,8.72,52470.34,9.29,40.3
36005038100,NY,82.0,234.53,0.38,33.39,11.21,10.62,130672.1,12.22,40.5
36005038200,NY,76.7,278.37,0.53,27.97,13.37,7.5,47443.35,8.93,28.5
36005038301,NY,75.6,227.99,0.53,38.76,12.58,8.89,135814.65,10.29,37.5
36005038302,NY,75.6,292.24,0.38,28.95,13.82,4.88,126607.46,11.75,39.5
36005038500,NY,77.1,259.7,0.53,33.48,15.07,5.42,74034.52,29.14,44.9
36005038600,NY,82.2,215.27,0.42,28.41,14.09,4.81,52098.32,9.77,34.0
36005038700,NY,72.1,275.34,0.62,28.37,15.33,11.28,52899.13,17.98,38.7
36005038800,NY,78.1,347.28,0.26,25.86,10.51,5.46,51692.09,9.5,32.0
36005038900,NY,76.5,248.2,0.49,37.24,14.52,11.1,82711.76,17.37,34.8
36005039000,NY,81.4,227.87,0.52,27.43,12.77,1.42,42105.17,17.7,32.1
36005039100,NY,75.5,245.16,0.66,39.41,14.62,20.04,90482.08,5.79,41.6
36005039200,NY,,355.43,0.55,23.78,10.68,11.49,47363.05,13.24,27.7
36005039300,NY,75.2,254.42,0.42,28.25,12.65,9.38,123684.33,10.92,41.5
36005039400,NY,77.0,328.12,0.44,31.28,11.24,17.62,82273.09,9.38,35.4
36005039500,NY,74.9,233.25,0.54,37.23,15.04,9.35,29081.87,11.33,44.0
36005039600,NY,86.0,242.76,0.46,26.03,11.44,10.82,48788.89,14.07,37.6
36005039700,NY,74.9,294.85,0.45,35.53,15.29,4.24,18594.66,22.52,25.6
36005039800,NY,79.3,360.42,0.4,23.81,12.52,2.68,48782.97,4.59,31.9
36005039901,NY,75.6,179.83,0.39,45.2,14.7,8.62,87440.75,15.64,38.1
36005039902,NY,79.0,146.99,0.41,35.81,14.09,15.17,119238.57,18.13,39.0
36005040100,NY,79.0,222.92,0.48,36.57,13.22,11.22,72321.93,15.43,46.3
36005040302,NY,76.3,155.43,0.44,41.0,11.55,5.18,203287.79,14.7,43.4
36005040303,NY,79.9,164.13,0.42,34.98,12.99,6.3,126940.48,12.45,41.1
36005040304,NY,80.1,181.35,0.45,37.71,12.23,8.73,144813.23,13.65,40.4
36005040400,NY,81.9,432.84,0.49,27.85,11.4,10.45,39820.24,8.22,27.2
36005040501,NY,83.1,92.5,0.51,33.85,13.66,7.46,126498.7,15.96,41.5
36005040502,NY,76.0,257.59,0.4,23.88,10.03,5.98,120863.79,17.67,41.9
36005040600,NY,83.8,289.89,0.63,22.95,11.85,7.24,43721.79,9.93,32.6
36005040701,NY,76.8,154.93,0.54,33.95,14.77,14.01,135865.75,10.98,36.4
36005040702,NY,75.6,112.84,0.57,35.2,13.06,8.02,100179.27,14.58,40.3
36005040800,NY,76.8,271.05,0.34,28.19,11.74,9.39,102480.94,10.4,38.1
36005040900,NY,77.6,347.12,0.4,19.44,12.09,4.25,10853.01,11.12,28.3
36005041100,NY,77.9,147.99,0.67,35.6,15.78,10.61,79907.54,13.22,35.8
36005041300,NY,80.5,184.49,0.42,43.59,12.12,11.11,122987.01,5.63,30.6
36005041400,NY,82.6,233.85,0.45,26.58,13.98,2.65,23915.93,5.71,30.0
36005041500,NY,78.7,159.13,0.25,32.22,11.55,8.67,107272.76,20.56,37.4
36005041800,NY,76.8,288.07,0.51,32.67,12.02,11.77,37558.4,11.39,29.7
36005041900,NY,77.9,122.66,0.38,34.42,11.92,11.2,50225.29,14.08,34.5
36005042000,NY,79.9,208.37,0.21,30.16,11.28,8.98,75653.25,16.51,40.6
36005042100,NY,77.9,230.81,0.35,31.27,12.16,7.05,59136.42,15.2,32.2
36005042200,NY,83.8,330.07,0.66,29.57,13.0,7.9,42402.19,2.06,28.4
36005042300,NY,76.8,225.61,0.65,24.71,14.1,12.79,66438.3,9.07,32.4
36005042400,NY,78.1,362.21,0.44,25.52,13.1,10.93,39673.69,14.61,28.9
36005042500,NY,75.6,199.6,0.63,24.56,14.36,7.56,51920.0,8.44,30.5
36005042600,NY,81.5,269.4,0.38,27.99,13.64,16.47,34922.54,7.11,28.0
36005042800,NY,84.1,329.4,0.58,29.9,14.74,4.72,30829.0,11.16,26.4
36005042901,NY,76.8,322.38,0.38,31.43,12.99,10.49,77201.18,1.81,36.2
36005042902,NY,76.2,373.2,0.47,25.48,13.62,9.42,110718.6,10.33,34.6
36005043000,NY,77.8,350.85,0.22,30.02,12.14,5.35,44371.87,15.37,27.6
36005043100,NY,75.3,158.64,0.34,26.41,13.68,9.49,124547.94,7.18,40.33
36005043400,NY,81.4,140.65,0.6,30.15,16.29,4.87,29130.1,10.12,30.1
36005043500,NY,,970.97,0.49,19.21,12.5,,6944.43,,
36005043600,NY,79.6,397.6,0.41,28.78,14.0,5.71,31645.02,12.99,34.5
36005044200,NY,76.8,262.37,0.22,33.31,13.06,22.34,42271.66,7.17,37.6
36005044400,NY,81.6,201.47,0.31,28.1,13.19,5.0,31954.05,14.34,26.2
36005044800,NY,79.8,301.68,0.32,26.57,12.57,6.52,36379.31,7.92,26.6
36005044901,NY,80.2,229.51,0.44,35.16,13.33,5.95,29726.68,0.8,18.0
36005044902,NY,79.8,334.57,0.56,30.92,12.82,8.44,35470.23,8.36,21.8
36005045101,NY,81.0,262.46,0.69,32.69,15.8,2.41,22676.73,2.53,16.9
36005045102,NY,77.7,229.03,0.69,27.75,13.17,3.8,25485.1,0.58,18.3
36005045600,NY,,301.5,0.23,25.25,12.35,2.19,11249.68,2.3,22.5
36005045800,NY,73.2,302.21,0.15,19.57,11.55,6.25,57433.54,23.27,43.6
36005046000,NY,70.9,190.77,0.48,20.93,14.35,6.55,24647.78,12.82,37.0
36005046201,NY,81.4,241.17,0.33,14.45,10.94,5.63,78197.15,8.89,30.61
36005046202,NY,78.5,491.29,0.5,27.14,14.54,3.21,28587.99,9.16,32.21
36005048400,NY,82.2,249.39,0.32,27.6,14.87,,19574.05,,
36005050400,NY,,,0.33,7.03,5.67,,0.0,,
36005051600,NY,79.6,259.43,0.49,22.08,14.41,,10375.88,,
36047000100,NY,82.3,202.65,0.6,49.19,15.79,4.42,61989.52,4.19,16.5
36047000200,NY,76.3,346.01,0.79,51.54,16.83,20.85,10942.47,7.5,29.5
36047000301,NY,89.1,443.59,0.44,33.6,11.62,1.48,52277.83,2.44,14.0
36047000501,NY,84.2,413.76,0.7,32.5,13.85,1.26,137103.19,4.59,15.9
36047000502,NY,80.2,322.3,0.73,29.84,15.29,1.33,74222.12,6.17,16.3
36047000700,NY,85.9,295.87,0.7,31.14,14.03,1.48,61448.01,1.84,12.9
36047000900,NY,86.6,115.73,0.72,28.82,17.05,1.61,76779.59,3.88,11.9
36047001100,NY,,0.0,0.41,48.48,15.67,0.32,23946.79,8.04,12.8
36047001300,NY,82.8,182.55,0.67,62.79,17.59,1.14,19347.59,4.71,13.6
36047001500,NY,81.5,192.79,0.67,47.57,16.9,4.49,88417.76,4.59,18.14
36047001800,NY,,183.73,0.55,21.39,14.17,,9263.7,,
36047002000,NY,80.1,186.33,0.5,59.37,14.44,18.69,31908.99,9.9,36.7
36047002100,NY,81.6,182.07,0.81,65.76,19.21,1.53,29074.97,1.66,11.5
36047002200,NY,80.3,188.14,0.48,48.79,13.66,8.21,32172.44,4.2,36.2
36047002300,NY,74.8,137.7,0.38,48.48,15.19,6.68,57211.31,35.24,47.3
36047002901,NY,74.4,222.95,0.15,41.2,14.07,5.26,94202.07,22.41,45.5
36047003000,NY,78.8,243.11,0.57,44.44,11.63,2.88,40851.99,9.25,20.6
36047003100,NY,81.1,329.25,0.27,29.6,14.43,,62174.09,,
36047003300,NY,81.2,217.34,0.53,31.17,16.47,1.2,71097.4,3.59,14.9
36047003400,NY,83.4,141.45,0.35,36.45,15.24,5.28,19346.29,2.02,19.6
36047003500,NY,81.2,245.83,0.74,31.18,17.99,3.9,42716.07,2.42,15.9
36047003600,NY,79.9,389.93,0.5,29.23,12.76,6.34,78387.39,7.44,21.7
36047003700,NY,,144.84,0.49,34.89,16.5,3.43,63564.0,1.22,13.6
36047003800,NY,81.6,261.52,0.71,40.36,14.5,6.14,30760.15,4.99,19.3
36047003900,NY,81.2,119.68,0.77,30.6,16.62,0.0,41641.7,4.19,19.5
36047004100,NY,77.8,176.97,0.74,30.12,16.77,3.5,55074.16,5.29,17.1
36047004300,NY,77.8,211.46,0.57,27.64,11.83,1.63,60762.92,6.63,14.9
36047004400,NY,82.6,214.36,0.65,30.06,13.97,2.64,14009.35,5.7,16.9
36047004500,NY,83.2,246.79,0.7,35.38,16.11,1.48,52395.4,3.25,12.5
36047004600,NY,82.6,321.87,0.22,36.52,14.33,0.81,11100.18,2.79,23.7
36047004700,NY,,258.84,0.68,43.58,16.17,0.15,18387.79,7.08,17.5
36047004900,NY,78.4,352.96,0.45,24.98,12.22,1.35,75391.17,10.98,16.7
36047005000,NY,80.9,201.0,0.48,32.64,13.69,1.91,27854.93,6.56,13.9
36047005100,NY,82.6,53.17,0.71,49.26,17.11,0.75,40312.28,3.12,13.1
36047005201,NY,79.7,222.63,0.33,33.74,13.83,2.32,32549.71,6.68,33.6
36047005202,NY,78.1,326.27,0.41,39.03,13.45,0.88,57524.2,1.04,19.2
36047005300,NY,78.2,0.0,0.65,30.7,16.93,4.09,10194.63,3.46,17.28
36047005400,NY,82.5,307.71,0.71,30.97,12.85,3.8,51734.17,6.35,20.1
36047005601,NY,80.4,182.17,0.67,35.84,16.56,3.99,40064.68,2.79,23.0
36047005602,NY,81.7,132.77,0.84,53.9,17.33,5.72,33176.46,1.35,19.4
36047005800,NY,78.7,163.65,0.7,31.01,17.51,0.65,41104.12,7.94,20.8
36047005900,NY,73.4,349.24,0.67,51.22,16.72,4.77,9195.71,9.38,19.3
36047006000,NY,81.3,184.52,0.73,24.02,15.91,11.34,55810.79,9.19,25.0
36047006200,NY,80.5,251.68,0.8,25.34,14.09,8.3,43556.71,4.77,26.7
36047006300,NY,83.0,441.45,0.43,35.47,11.81,6.34,53455.92,6.61,16.7
36047006400,NY,80.5,133.0,0.75,22.07,13.23,13.21,43290.54,9.21,23.4
36047006500,NY,82.1,312.2,0.64,29.62,10.99,2.29,59292.85,7.1,13.0
36047006600,NY,82.6,238.95,0.79,22.24,15.52,4.54,67925.28,5.21,24.4
36047006700,NY,85.2,328.04,0.64,28.7,13.22,0.82,66947.99,1.12,14.7
36047006800,NY,81.6,188.08,0.77,28.06,15.89,10.64,56223.05,8.7,29.9
36047006900,NY,82.7,255.39,0.74,26.96,16.48,2.82,56753.38,8.74,12.6
36047007000,NY,84.5,143.59,0.35,43.48,15.71,3.2,45047.95,4.33,21.6
36047007100,NY,77.4,353.19,0.15,42.23,13.64,3.63,71610.01,5.23,30.3
36047007200,NY,81.1,146.18,0.74,90.91,14.17,18.56,74147.68,1.78,32.8
36047007400,NY,82.9,181.86,0.52,34.2,12.34,12.33,103279.09,3.89,33.7
36047007500,NY,82.6,225.27,0.75,29.6,16.16,4.72,44082.06,4.36,13.3
36047007600,NY,78.8,89.33,0.67,28.73,12.85,20.5,91402.97,9.6,40.0
36047007700,NY,81.8,256.71,0.69,30.93,15.59,1.01,37504.15,6.18,15.0
36047007800,NY,81.5,109.09,0.56,22.7,11.81,15.47,107170.76,5.26,33.2
36047008000,NY,77.7,187.68,0.64,30.92,13.57,13.39,65757.38,5.04,31.8
36047008200,NY,83.3,198.85,0.53,28.51,11.94,7.66,69491.06,7.04,33.2
36047008400,NY,77.7,111.32,0.78,27.89,15.52,22.36,39320.76,8.64,30.6
36047008500,NY,73.4,205.52,0.22,30.09,13.54,13.48,78866.32,19.15,47.5
36047008600,NY,,293.71,0.0,36.96,13.0,,0.0,,
36047008800,NY,79.1,471.76,0.63,19.44,13.27,8.91,34219.7,10.19,33.1
36047009000,NY,80.8,178.41,0.65,15.22,13.56,15.67,47571.79,6.41,39.99
36047009200,NY,80.4,66.98,0.6,26.91,13.83,10.89,137843.66,8.44,38.93
36047009400,NY,83.3,280.79,0.77,27.02,13.88,8.98,93150.21,4.63,39.71
36047009600,NY,82.7,312.1,0.63,26.56,10.32,16.88,103787.13,5.05,34.2
36047009800,NY,83.0,104.53,0.67,24.78,12.61,16.58,117934.11,7.09,46.6
36047010000,NY,83.4,314.39,0.63,27.4,12.98,12.77,95814.29,5.19,35.8
36047010100,NY,82.9,322.44,0.57,28.95,14.46,11.23,35978.23,8.01,22.9
36047010200,NY,85.1,328.1,0.74,27.67,13.45,8.92,88020.52,7.17,44.2
