FGEOIDCT10,Sits in State,Life Expectancy,Average Distance to Transit,Ave Economic Diversity,Ave Road Network Density,Walkability Index,Ave Percent People Without Health Insurance,Ave Population Density,Ave Percent People Unemployed,Ave Physical Inactivity
04013110502,AZ,73.3,423.46,0.64,24.17,16.06,15.38,6452.66,3.2,20.4
04013110600,AZ,75.6,453.76,0.51,19.72,13.93,10.33,4740.83,13.73,22.6
04013110702,AZ,72.7,594.21,0.74,26.61,16.04,16.5,6821.0,3.55,27.33
04013110801,AZ,76.8,477.43,0.71,22.1,15.55,19.28,10037.11,1.42,25.9
04013110802,AZ,81.9,545.26,0.61,25.0,16.11,7.79,4759.12,5.9,24.8
04013110901,AZ,72.1,521.17,0.69,18.33,14.88,7.68,6879.56,2.03,23.0
04013110902,AZ,75.3,824.28,0.56,17.29,12.51,14.68,9047.18,4.67,25.8
04013111000,AZ,81.8,541.93,0.62,20.21,14.05,8.29,4286.13,1.45,18.3
04013111100,AZ,79.2,739.65,0.51,21.22,12.74,5.93,4066.74,2.22,17.5
04013111201,AZ,77.1,619.43,0.48,15.23,11.51,17.15,8439.11,1.47,26.3
04013111202,AZ,,779.19,0.55,11.95,11.5,25.89,5182.75,2.27,23.1
04013111203,AZ,,535.11,0.52,16.95,10.0,9.12,12186.54,0.77,23.0
04013111204,AZ,,915.98,0.48,11.1,10.5,13.37,1452.42,3.09,18.8
04013111300,AZ,79.6,490.07,0.58,20.48,14.01,19.99,5611.78,3.26,20.9
04013111401,AZ,77.7,461.72,0.66,21.91,14.79,39.48,8741.36,5.71,31.4
04013111402,AZ,78.0,633.7,0.48,23.37,13.75,10.23,6828.56,5.24,28.9
04013111501,AZ,,486.83,0.68,16.99,14.5,32.22,7926.42,9.81,38.2
04013111502,AZ,74.6,482.36,0.32,22.16,12.81,23.42,8818.07,3.84,33.7
04013111601,AZ,78.8,435.68,0.54,28.65,14.04,40.49,7242.08,3.45,33.1
04013111602,AZ,70.5,550.89,0.44,20.83,12.63,42.15,8621.57,4.01,33.9
04013111700,AZ,79.5,479.69,0.7,24.38,15.34,13.32,5525.22,4.96,19.3
04013111800,AZ,78.3,466.13,0.72,22.64,15.38,7.94,4580.43,4.33,17.7
04013111900,AZ,77.3,286.95,0.37,16.62,13.37,1.55,2570.02,1.41,16.5
04013112100,AZ,76.9,558.63,0.31,21.01,12.72,26.77,3918.2,1.98,36.3
04013112201,AZ,76.3,628.77,0.5,23.88,13.57,29.35,8915.73,2.82,38.4
04013112202,AZ,74.4,447.86,0.24,25.81,12.67,21.93,9177.62,9.58,44.3
